,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Daily holdings,JPMorgan ETFs (Ireland) ICAV - Global Equity Multi-Factor UCITS ETF,,,,,,As of Date:04.10.2024
,,,,,,,
Name,ISIN,Asset class,Country,Currency,Weight,"Base market
value",Price
VISTRA CORP,US92840M1027,Common Stock,United States,USD,0.51%,"$ 895,374.29",138.41
CONSTELLATION ENERGY,US21037T1097,Common Stock,United States,USD,0.44%,"$ 777,756.48",285.52
BROADCOM INC,US11135F1012,Common Stock,United States,USD,0.37%,"$ 656,217.60",176.64
ARISTA NETWORKS INC,US0404131064,Common Stock,United States,USD,0.37%,"$ 647,806.92",395.97
NRG ENERGY INC,US6293775085,Common Stock,United States,USD,0.36%,"$ 634,554.25",95.35
CATERPILLAR INC,US1491231015,Common Stock,United States,USD,0.35%,"$ 613,901.14",397.09
META PLATFORMS INC-CLASS A,US30303M1027,Common Stock,United States,USD,0.35%,"$ 606,666.92",595.94
APOLLO GLOBAL MANAGEMENT INC,US03769M1062,Common Stock,United States,USD,0.34%,"$ 601,812.51",135.33
PUBLIC SERVICE ENTERPRISE GP,US7445731067,Common Stock,United States,USD,0.33%,"$ 586,139.07",92.03
IMPERIAL OIL LTD /CAD/,CA4530384086,Common Stock,Canada,CAD,0.33%,"CAD 579,615.47",104.79
AMERICAN EXPRESS CO,US0258161092,Common Stock,United States,USD,0.33%,"$ 577,329.24",275.97
CUMMINS INC,US2310211063,Common Stock,United States,USD,0.33%,"$ 576,232.38",331.74
INTL BUSINESS MACHINES CORP,US4592001014,Common Stock,United States,USD,0.33%,"$ 573,136.00",226.00
EASTMAN CHEMICAL CO,US2774321002,Common Stock,United States,USD,0.33%,"$ 571,160.00",109.00
KLA CORP,US4824801009,Common Stock,United States,USD,0.32%,"$ 566,920.80",787.39
MANULIFE FINANCIAL CORP /CAD/,CA56501R1064,Common Stock,Canada,CAD,0.32%,"CAD 566,668.80",41.03
PARKER HANNIFIN CORP,US7010941042,Common Stock,United States,USD,0.32%,"$ 561,935.88",630.68
SOUTHERN COPPER CORP,US84265V1052,Common Stock,Mexico,USD,0.32%,"$ 558,965.05",117.95
SYNCHRONY FINANCIAL,US87165B1035,Common Stock,United States,USD,0.32%,"$ 556,976.40",51.86
ENTERGY CORP,US29364G1031,Common Stock,United States,USD,0.32%,"$ 553,452.50",132.50
ORACLE CORP,US68389X1054,Common Stock,United States,USD,0.31%,"$ 553,073.82",170.86
EXXON MOBIL CORP,US30231G1022,Common Stock,United States,USD,0.31%,"$ 550,375.47",124.83
IRON MOUNTAIN INC,US46284V1017,Fund - Real Estate Investment Trust,United States,USD,0.31%,"$ 550,120.28",118.28
PULTE GROUP INC,US7458671010,Common Stock,United States,USD,0.31%,"$ 545,349.84",139.44
BOOKING HOLDINGS INC,US09857L1089,Common Stock,United States,USD,0.31%,"$ 544,401.00","4,187.70"
ATMOS ENERGY CORP,US0495601058,Common Stock,United States,USD,0.31%,"$ 544,397.12",139.84
QUALCOMM INC,US7475251036,Common Stock,United States,USD,0.31%,"$ 543,689.10",168.90
HOST HOTELS & RESORTS INC,US44107P1049,Fund - Real Estate Investment Trust,United States,USD,0.31%,"$ 543,569.10",17.86
GE AEROSPACE,US3696043013,Common Stock,United States,USD,0.31%,"$ 542,532.00",187.08
EATON CORP PLC,IE00B8KQN827,Common Stock,United States,USD,0.31%,"$ 540,873.20",333.05
PACKAGING CORP OF AMERICA,US6951561090,Common Stock,United States,USD,0.31%,"$ 538,332.51",213.37
WALMART INC,US9311421039,Common Stock,United States,USD,0.31%,"$ 537,765.36",80.94
DAVITA HEALTHCARE PARTNER INC,US23918K1088,Common Stock,United States,USD,0.30%,"$ 534,776.32",160.69
WEYERHAEUSER CO,US9621661043,Fund - Real Estate Investment Trust,United States,USD,0.30%,"$ 534,135.60",32.88
NVR INC,US62944T1051,Common Stock,United States,USD,0.30%,"$ 532,840.00","9,515.00"
MOTOROLA SOLUTIONS INC,US6200763075,Common Stock,United States,USD,0.30%,"$ 531,354.00",450.30
INTERNATIONAL PAPER CO,US4601461035,Common Stock,United States,USD,0.30%,"$ 531,063.79",48.53
PRUDENTIAL FINANCIAL INC,US7443201022,Common Stock,United States,USD,0.30%,"$ 530,086.90",122.99
ARCH CAPITAL GROUP LTD,BMG0450A1053,Common Stock,United States,USD,0.30%,"$ 529,504.60",114.86
WHEATON PRECIOUS METALS  /CAD/,CA9628791027,Common Stock,Brazil,CAD,0.30%,"CAD 528,522.98",81.89
LOCKHEED MARTIN CORP,US5398301094,Common Stock,United States,USD,0.30%,"$ 528,278.49",605.13
RIO TINTO PLC /GBP/,GB0007188757,Common Stock,Australia,GBP,0.30%,"GBP 528,151.39",52.98
GOLDMAN SACHS GROUP INC,US38141G1040,Common Stock,United States,USD,0.30%,"$ 527,345.40",495.16
GREAT-WEST LIFECO INC /CAD/,CA39138C1068,Common Stock,Canada,CAD,0.30%,"CAD 525,875.53",46.25
HARTFORD FINANCIAL SVCS GRP,US4165151048,Common Stock,United States,USD,0.30%,"$ 525,146.23",118.09
SIMON PROPERTY GROUP INC,US8288061091,Fund - Real Estate Investment Trust,United States,USD,0.30%,"$ 524,850.10",169.58
CHECK POINT SOFTWARE TECH,IL0010824113,Common Stock,Israel,USD,0.30%,"$ 523,998.86",193.93
WW GRAINGER INC,US3848021040,Common Stock,United States,USD,0.30%,"$ 523,852.68","1,033.24"
APPLE INC,US0378331005,Common Stock,United States,USD,0.30%,"$ 523,227.60",226.80
CAPITAL ONE FINANCIAL CORP,US14040H1059,Common Stock,United States,USD,0.30%,"$ 522,923.52",153.44
FASTENAL CO,US3119001044,Common Stock,United States,USD,0.30%,"$ 522,841.00",70.18
FIRST CITIZENS BCSHS  -CL A,US31946M1036,Common Stock,United States,USD,0.30%,"$ 522,632.16","1,950.12"
KROGER CO,US5010441013,Common Stock,United States,USD,0.30%,"$ 522,347.94",55.89
ABB LTD-REG /CHF/,CH0012221716,Common Stock,Switzerland,CHF,0.30%,"CHF 522,118.60",49.15
DIGITAL REALTY TRUST INC,US2538681030,Fund - Real Estate Investment Trust,United States,USD,0.30%,"$ 521,554.00",157.00
IBERDROLA SA /EUR/,ES0144580Y14,Common Stock,Spain,EUR,0.30%,"EUR 521,338.76",13.57
FIDELITY NATIONAL FINANCIAL,US31620R3030,Common Stock,United States,USD,0.30%,"$ 521,117.55",60.21
ECOLAB INC,US2788651006,Common Stock,United States,USD,0.30%,"$ 520,866.50",251.02
AGNICO EAGLE MINES LIMITED/CAD,CA0084741085,Common Stock,Canada,CAD,0.30%,"CAD 520,530.87",106.97
SOUTHERN CO/THE,US8425871071,Common Stock,United States,USD,0.30%,"$ 520,095.29",90.31
LENNAR CORP-A,US5260571048,Common Stock,United States,USD,0.29%,"$ 517,225.50",182.25
HCA HEALTHCARE INC,US40412C1018,Common Stock,United States,USD,0.29%,"$ 517,019.84",394.07
PPL CORP,US69351T1060,Common Stock,United States,USD,0.29%,"$ 516,796.35",32.55
LENOVO GROUP LTD /HKD/,HK0992009065,Common Stock,China,HKD,0.29%,"HKD 516,424.79",11.14
WASTE MANAGEMENT INC,US94106L1098,Common Stock,United States,USD,0.29%,"$ 514,398.48",208.09
NISOURCE INC,US65473P1057,Common Stock,United States,USD,0.29%,"$ 514,265.44",34.64
ROYAL BANK OF CANADA /CAD/,CA7800871021,Common Stock,Canada,CAD,0.29%,"CAD 514,115.26",166.20
EVERGY INC,US30034W1062,Common Stock,United States,USD,0.29%,"$ 514,011.60",60.33
WELLTOWER INC,US95040Q1040,Fund - Real Estate Investment Trust,United States,USD,0.29%,"$ 513,038.16",125.56
KELLANOVA,US4878361082,Common Stock,United States,USD,0.29%,"$ 512,437.77",80.61
BERKSHIRE HATHAWAY INC-CL B,US0846707026,Common Stock,United States,USD,0.29%,"$ 511,862.76",461.97
ABBVIE INC,US00287Y1091,Common Stock,United States,USD,0.29%,"$ 511,565.57",194.29
TRACTOR SUPPLY COMPANY,US8923561067,Common Stock,United States,USD,0.29%,"$ 511,183.01",294.97
DEUTSCHE TELEKOM AG-REG /EUR/,DE0005557508,Common Stock,Germany,EUR,0.29%,"EUR 510,966.12",26.29
CF INDUSTRIES HOLDINGS INC,US1252691001,Common Stock,United States,USD,0.29%,"$ 510,789.90",90.15
CHUBB LTD,CH0044328745,Common Stock,United States,USD,0.29%,"$ 510,276.04",290.59
BUILDERS FIRSTSOURCE INC,US12008R1077,Common Stock,United States,USD,0.29%,"$ 510,118.84",192.28
STEEL DYNAMICS INC,US8581191009,Common Stock,United States,USD,0.29%,"$ 509,930.94",128.22
AMERICAN INTERNATIONAL GROUP,US0268747849,Common Stock,United States,USD,0.29%,"$ 508,850.55",76.05
PUBLIC STORAGE REIT,US74460D1090,Fund - Real Estate Investment Trust,United States,USD,0.29%,"$ 508,774.20",345.40
KIMCO REALTY CORP,US49446R1095,Fund - Real Estate Investment Trust,United States,USD,0.29%,"$ 508,052.18",22.94
LINDE PLC,IE000S9YS762,Common Stock,United States,USD,0.29%,"$ 507,507.12",468.18
ELI LILLY & CO,US5324571083,Common Stock,United States,USD,0.29%,"$ 507,455.52",887.16
CBOE GLOBAL MARKETS INC,US12503M1080,Common Stock,United States,USD,0.29%,"$ 507,322.62",210.42
AFLAC INC,US0010551028,Common Stock,United States,USD,0.29%,"$ 507,028.74",115.26
EDISON INTERNATIONAL,US2810201077,Common Stock,United States,USD,0.29%,"$ 506,393.68",86.18
HSBC HOLDINGS PLC /GBP/,GB0005405286,Common Stock,United Kingdom,GBP,0.29%,"GBP 506,213.08",6.92
FORTIS INC /CAD/,CA3495531079,Common Stock,Canada,CAD,0.29%,"CAD 505,967.75",60.33
TJX COMPANIES INC,US8725401090,Common Stock,United States,USD,0.29%,"$ 505,094.76",114.69
DR HORTON INC,US23331A1097,Common Stock,United States,USD,0.29%,"$ 504,990.40",184.64
SHELL PLC-NEW /GBP/,GB00BP6MXD84,Common Stock,United States,GBP,0.29%,"GBP 504,803.68",25.78
VERIZON COMMUNICATIONS INC,US92343V1044,Common Stock,United States,USD,0.29%,"$ 504,270.52",44.18
AT&T INC,US00206R1023,Common Stock,United States,USD,0.29%,"$ 503,798.54",21.91
REPUBLIC SERVICES INC,US7607591002,Common Stock,United States,USD,0.29%,"$ 503,681.70",200.67
